"sex","region","state","2000","2007","2015","total.icnrease"
"female","Center West","Distrito Federal",76.420537749012,78.2234853510269,81.2745074535551,4.85396970454316
"female","Center West","Goiás",73.744025923394,75.9094339562432,77.3961395767221,3.65211365332809
"female","Center West","Mato Grosso",73.6132680160236,76.0987225045174,77.0346811143369,3.42141309831331
"female","Center West","Mato Grosso do Sul",75.2275107147181,76.1755748696483,78.2758865826086,3.04837586789054
"female","North","Acre",72.6070494518239,74.7379191011138,75.4688870835224,2.86183763169848
"female","North","Amapá",75.9182854520472,76.9727329112013,74.9028473578535,-1.0154380941937
"female","North","Amazonas",73.4918358142843,75.5207334671141,77.0378277318863,3.54599191760197
"female","North","Pará",75.1647988722891,74.9113948235439,75.2149545453175,0.0501556730283852
"female","North","Rondônia",71.553553152566,76.1084088380197,77.6140639712282,6.06051081866228
"female","North","Roraima",71.4709093734102,74.668336856557,76.0287241467767,4.55781477336654
"female","North","Tocantins",72.3017254159872,74.5453134777933,76.9256336602592,4.62390824427193
"female","Northeast","Alagoas",73.3231499438159,74.8426017990643,75.8918727186157,2.56872277479972
"female","Northeast","Bahia",73.3465988562861,76.7374916889401,78.6829871070175,5.33638825073139
"female","Northeast","Ceará",73.4968187702737,76.8377748344476,78.604925685876,5.10810691560225
"female","Northeast","Maranhão",71.5014653283186,73.2908355218851,76.2317263165197,4.7302609882011
"female","Northeast","Paraíba",73.4088837392191,76.1799148960955,78.2142756500008,4.80539191078174
"female","Northeast","Pernambuco",72.9121739799743,75.718895792401,76.9348066820206,4.02263270204631
"female","Northeast","Piauí",71.3995508445903,75.4200429160208,77.7699480089032,6.37039716431299
"female","Northeast","Rio Grande do Norte",74.4003631401742,77.723523744487,78.5496828410857,4.14931970091149
"female","Northeast","Sergipe",73.8954162894671,76.7743496897247,76.7388382403614,2.84342195089424
"female","South","Paraná",74.0790650996503,77.0431856005155,78.9704483196002,4.89138321994984
"female","South","Rio Grande do Sul",75.966647267374,77.7574294897081,79.7188606840653,3.75221341669135
"female","South","Santa Catarina",75.860906314884,78.3564527663959,80.3750845164382,4.51417820155423
"female","Southeast","Espírito Santo",74.5395752806758,77.4392591203894,80.2523571593637,5.71278187868785
"female","Southeast","Minas Gerais",74.7252837492078,77.3484194807865,79.5677319666535,4.84244821744572
"female","Southeast","Rio de Janeiro",73.8927536397781,76.2825785068609,77.6464889347014,3.75373529492332
"female","Southeast","São Paulo",75.4285360822111,77.9766337070338,79.2887784768234,3.86024239461227
"male","Center West","Distrito Federal",68.0397885913134,71.0706527876025,74.7174837971977,6.67769520588428
"male","Center West","Goiás",66.4252336014472,69.4155677115122,70.5166642872491,4.09143068580188
"male","Center West","Mato Grosso",65.2770581068091,69.1070201240714,70.7202410848171,5.443182978008
"male","Center West","Mato Grosso do Sul",67.7706950521248,69.5724876722798,71.8185637934924,4.04786874136761
"male","North","Acre",65.6075717754549,68.029243990261,70.9645271018344,5.35695532637951
"male","North","Amapá",65.5238525700545,69.1437477379591,68.4568470837342,2.93299451367963
"male","North","Amazonas",66.719495536485,69.780426917875,70.3025483799123,3.58305284342737
"male","North","Pará",68.5077949730434,68.2223751021126,68.0880697327476,-0.419725240295762
"male","North","Rondônia",64.4900993943592,69.9166793638905,70.5018800952727,6.0117807009135
"male","North","Roraima",65.7238339266369,67.8536278971665,67.0395739346057,1.31574000796876
"male","North","Tocantins",66.7646556213577,68.874392661069,72.3067669975069,5.54211137614919
"male","Northeast","Alagoas",67.1584243635286,67.0335981401433,68.6801343328355,1.52170996930688
"male","Northeast","Bahia",68.4224852311127,70.363754597059,71.2447279449591,2.82224271384636
"male","Northeast","Ceará",67.8270790307827,70.240555857321,70.6745119580323,2.8474329272496
"male","Northeast","Maranhão",66.5032736619888,67.7616254947389,70.7866999906617,4.28342632867287
"male","Northeast","Paraíba",65.7653838027864,69.3887440515884,70.6882682461461,4.92288444335968
"male","Northeast","Pernambuco",63.9014599571582,67.4732907267896,69.2987880132176,5.39732805605937
"male","Northeast","Piauí",65.3631823281516,69.0781784716862,70.5012973837756,5.13811505562404
"male","Northeast","Rio Grande do Norte",68.542293202031,70.9980555338099,71.4487063845996,2.90641318256864
"male","Northeast","Sergipe",67.2405983778608,70.0306943933876,68.6835923570178,1.44299397915702
"male","South","Paraná",67.6296927810393,69.9948252417407,72.4017201404193,4.77202735938
"male","South","Rio Grande do Sul",67.9389867667948,70.2430588433146,72.7341295728028,4.79514280600802
"male","South","Santa Catarina",68.9460981826948,71.1445208947833,73.8413691506301,4.89527096793536
"male","Southeast","Espírito Santo",66.5181844533913,69.4762562035013,72.849307712919,6.33112325952771
"male","Southeast","Minas Gerais",67.7262756646851,70.1801948038098,73.0977517604954,5.37147609581025
"male","Southeast","Rio de Janeiro",64.7912726169576,67.4651364605849,70.4980924698097,5.70681985285211
"male","Southeast","São Paulo",66.9416521641041,70.7951100342888,72.801686991196,5.86003482709182
