state_code;State_name;white;black;asian;mixed;native
11;Rondônia;35,32000904;6,853647156;1,421458786;55,62602366;0,769004787
12;Acre;23,85166019;5,797897647;1,8914634;66,28696533;2,17037757
13;Amazonas;21,2419112;4,125964951;0,911972928;68,87839643;4,841582269
14;Roraima;20,92261792;5,852437073;0,958535248;61,24769412;11,01871563
15;Pará;21,80841416;7,239431577;0,912775814;69,51947692;0,515508997
16;Amapá;23,97024163;8,705561845;0,986070743;65,23137264;1,106454417
17;Tocantins;24,95567225;9,123384016;1,845682336;63,12596453;0,949152297
21;Maranhão;22,13179769;9,685603599;1,12884231;66,51652243;0,53647349
22;Piauí;24,35129363;9,394393207;2,139938942;64,01990149;0,094408599
23;Ceará;31,99964602;4,646418565;1,245885627;61,87858782;0,228763942
24;Rio Grande do Norte;41,14838668;5,242695217;1,03521845;52,48203377;0,081975311
25;Paraíba;39,80464237;5,654225855;1,287312878;52,74403907;0,508399247
26;Pernambuco;36,66586786;6,488925985;0,93392242;55,30487988;0,605744501
27;Alagoas;31,60800822;6,57440777;1,175583097;60,17694634;0,464958433
28;Sergipe;28,21195377;8,900023549;1,243123243;61,39045279;0,252367364
29;Bahia;22,19180895;17,10255459;1,133809416;59,16467586;0,4022357
31;Minas Gerais;45,38652459;9,218301677;0,954818845;44,28024124;0,15875632
32;Espírito Santo;42,15357706;8,345320221;0,624645799;48,61505932;0,260600998
33;Rio de Janeiro;47,42389413;12,37454525;0,768221047;39,3253466;0,099400066
35;São Paulo;63,9125147;5,520219608;1,353185273;29,1067352;0,101288833
41;Paraná;70,31551264;3,167496543;1,179613129;25,08852963;0,248120403
42;Santa Catarina;83,97090088;2,942448318;0,416376194;12,41203399;0,256720242
43;Rio Grande do Sul;83,2248559;5,565054715;0,333665952;10,56714515;0,30848344
50;Mato Grosso do Sul;47,28834834;4,903831077;1,223221986;43,59124288;2,992824897
51;Mato Grosso;37,46636873;7,574324854;1,141370923;52,4099855;1,401525211
52;Goiás;41,67567209;6,52784542;1,640264446;50,01297514;0,142126937
53;Distrito Federal;42,19262614;7,706601924;1,615541445;48,24143244;0,238428736
